Season,MatchWeek,Date,Team,Full Time Goals,Elo-rating before match,Elo-rating after match
1993-1994,1,1993-08-14,Arsenal,0,1500.0,1485.0
1993-1994,1,1993-08-14,Coventry,3,1500.0,1515.0
1993-1994,1,1993-08-14,Aston Villa,4,1500.0,1515.0
1993-1994,1,1993-08-14,QPR,1,1500.0,1485.0
1993-1994,1,1993-08-14,Chelsea,1,1500.0,1485.0
1993-1994,1,1993-08-14,Blackburn,2,1500.0,1515.0
1993-1994,1,1993-08-14,Liverpool,2,1500.0,1515.0
1993-1994,1,1993-08-14,Sheffield Weds,0,1500.0,1485.0
1993-1994,1,1993-08-14,Man City,1,1500.0,1500.0
1993-1994,1,1993-08-14,Leeds,1,1500.0,1500.0
1993-1994,1,1993-08-14,Newcastle,0,1500.0,1485.0
1993-1994,1,1993-08-14,Tottenham,1,1500.0,1515.0
1993-1994,1,1993-08-14,Oldham,0,1500.0,1485.0
1993-1994,1,1993-08-14,Ipswich,3,1500.0,1515.0
1993-1994,1,1993-08-14,Sheffield United,3,1500.0,1515.0
1993-1994,1,1993-08-14,Swindon,1,1500.0,1485.0
1993-1994,1,1993-08-14,Southampton,0,1500.0,1485.0
1993-1994,1,1993-08-14,Everton,2,1500.0,1515.0
1993-1994,1,1993-08-14,West Ham,0,1500.0,1485.0
1993-1994,1,1993-08-14,Wimbledon,2,1500.0,1515.0
1993-1994,1,1993-08-15,Norwich,0,1500.0,1485.0
1993-1994,1,1993-08-15,Man United,2,1500.0,1515.0
1993-1994,1,1993-08-16,Tottenham,0,1515.0,1498.71
1993-1994,1,1993-08-16,Arsenal,1,1485.0,1501.29
1993-1994,1,1993-08-17,Wimbledon,1,1515.0,1513.71
1993-1994,1,1993-08-17,Chelsea,1,1485.0,1486.29
1993-1994,1,1993-08-17,Leeds,1,1500.0,1514.35
1993-1994,1,1993-08-17,West Ham,0,1485.0,1470.65
1993-1994,1,1993-08-17,Ipswich,1,1515.0,1528.71
1993-1994,1,1993-08-17,Southampton,0,1485.0,1471.29
1993-1994,1,1993-08-17,Everton,1,1515.0,1529.35
1993-1994,1,1993-08-17,Man City,0,1500.0,1485.65
1993-1994,1,1993-08-18,Blackburn,2,1515.0,1498.71
1993-1994,1,1993-08-18,Norwich,3,1485.0,1501.29
1993-1994,1,1993-08-18,Coventry,2,1515.0,1528.71
1993-1994,1,1993-08-18,Newcastle,1,1485.0,1471.29
1993-1994,1,1993-08-18,Man United,3,1515.0,1530.0
1993-1994,1,1993-08-18,Sheffield United,0,1515.0,1500.0
1993-1994,1,1993-08-18,QPR,1,1485.0,1471.29
1993-1994,1,1993-08-18,Liverpool,3,1515.0,1528.71
1993-1994,1,1993-08-18,Sheffield Weds,0,1485.0,1486.29
1993-1994,1,1993-08-18,Aston Villa,0,1515.0,1513.71
1993-1994,1,1993-08-18,Swindon,0,1485.0,1470.0
1993-1994,1,1993-08-18,Oldham,1,1485.0,1500.0
1993-1994,2,1993-08-21,Wimbledon,2,1513.71,1513.71
1993-1994,2,1993-08-21,Aston Villa,2,1513.71,1513.71
1993-1994,2,1993-08-21,Tottenham,1,1498.71,1513.14
1993-1994,2,1993-08-21,Man City,0,1485.65,1471.21
1993-1994,2,1993-08-21,Sheffield Weds,0,1486.29,1471.94
1993-1994,2,1993-08-21,Arsenal,1,1501.29,1515.64
1993-1994,2,1993-08-21,QPR,2,1471.29,1486.29
1993-1994,2,1993-08-21,Southampton,1,1471.29,1456.29
1993-1994,2,1993-08-21,Man United,1,1530.0,1527.49
1993-1994,2,1993-08-21,Newcastle,1,1471.29,1473.8
1993-1994,2,1993-08-21,Everton,4,1529.35,1543.09
1993-1994,2,1993-08-21,Sheffield United,2,1500.0,1486.26
1993-1994,2,1993-08-21,Ipswich,1,1528.71,1541.89
1993-1994,2,1993-08-21,Chelsea,0,1486.29,1473.11
1993-1994,2,1993-08-21,Coventry,1,1528.71,1526.22
1993-1994,2,1993-08-21,West Ham,1,1470.65,1473.13
1993-1994,2,1993-08-21,Blackburn,1,1498.71,1513.76
1993-1994,2,1993-08-21,Oldham,0,1500.0,1484.94
1993-1994,2,1993-08-21,Leeds,0,1514.35,1498.79
1993-1994,2,1993-08-21,Norwich,4,1501.29,1516.86
1993-1994,2,1993-08-22,Swindon,0,1470.0,1457.51
1993-1994,2,1993-08-22,Liverpool,5,1528.71,1541.2
1993-1994,2,1993-08-23,Aston Villa,1,1513.71,1499.3
1993-1994,2,1993-08-23,Man United,2,1527.49,1541.89
1993-1994,2,1993-08-24,Arsenal,2,1515.64,1529.92
1993-1994,2,1993-08-24,Leeds,1,1498.79,1484.52
1993-1994,2,1993-08-24,Man City,0,1471.21,1458.04
1993-1994,2,1993-08-24,Blackburn,2,1513.76,1526.94
1993-1994,2,1993-08-24,Oldham,3,1484.94,1486.72
1993-1994,2,1993-08-24,Coventry,3,1526.22,1524.45
1993-1994,2,1993-08-24,Sheffield United,2,1486.26,1502.45
1993-1994,2,1993-08-24,Wimbledon,1,1513.71,1497.53
1993-1994,2,1993-08-25,West Ham,2,1473.13,1488.08
1993-1994,2,1993-08-25,Sheffield Weds,0,1471.94,1456.99
1993-1994,2,1993-08-25,Southampton,5,1456.29,1471.34
1993-1994,2,1993-08-25,Swindon,1,1457.51,1442.46
1993-1994,2,1993-08-25,Norwich,1,1516.86,1532.93
1993-1994,2,1993-08-25,Ipswich,0,1541.89,1525.81
1993-1994,2,1993-08-25,Chelsea,2,1473.11,1488.68
1993-1994,2,1993-08-25,QPR,0,1486.29,1470.72
1993-1994,2,1993-08-25,Liverpool,1,1541.2,1524.99
1993-1994,2,1993-08-25,Tottenham,2,1513.14,1529.35
1993-1994,2,1993-08-25,Newcastle,1,1473.8,1491.76
1993-1994,2,1993-08-25,Everton,0,1543.09,1525.14
1993-1994,3,1993-08-27,Man City,1,1458.04,1460.87
1993-1994,3,1993-08-27,Coventry,1,1524.45,1521.62
1993-1994,3,1993-08-28,Sheffield United,1,1502.45,1503.45
1993-1994,3,1993-08-28,Ipswich,1,1525.81,1524.8
1993-1994,3,1993-08-28,West Ham,0,1488.08,1472.33
1993-1994,3,1993-08-28,QPR,4,1470.72,1486.47
1993-1994,3,1993-08-28,Southampton,1,1471.34,1459.35
1993-1994,3,1993-08-28,Man United,3,1541.89,1553.89
1993-1994,3,1993-08-28,Oldham,1,1486.72,1487.18
1993-1994,3,1993-08-28,Wimbledon,1,1497.53,1497.06
1993-1994,3,1993-08-28,Arsenal,2,1529.92,1544.71
1993-1994,3,1993-08-28,Everton,0,1525.14,1510.34
1993-1994,3,1993-08-28,Liverpool,2,1524.99,1538.25
1993-1994,3,1993-08-28,Leeds,0,1484.52,1471.26
1993-1994,3,1993-08-28,Aston Villa,1,1499.3,1515.6
1993-1994,3,1993-08-28,Tottenham,0,1529.35,1513.06
1993-1994,3,1993-08-28,Norwich,0,1532.93,1529.11
1993-1994,3,1993-08-28,Swindon,0,1442.46,1446.28
1993-1994,3,1993-08-28,Chelsea,1,1488.68,1487.32
1993-1994,3,1993-08-28,Sheffield Weds,1,1456.99,1458.36
1993-1994,3,1993-08-29,Newcastle,1,1491.76,1493.27
1993-1994,3,1993-08-29,Blackburn,1,1526.94,1525.42
1993-1994,3,1993-08-30,Leeds,1,1471.26,1486.94
1993-1994,3,1993-08-30,Oldham,0,1487.18,1471.5
1993-1994,3,1993-08-31,Everton,0,1510.34,1495.57
1993-1994,3,1993-08-31,Aston Villa,1,1515.6,1530.37
1993-1994,3,1993-08-31,Ipswich,1,1524.8,1523.44
1993-1994,3,1993-08-31,Newcastle,1,1493.27,1494.63
1993-1994,3,1993-08-31,Wimbledon,1,1497.06,1510.44
1993-1994,3,1993-08-31,Southampton,0,1459.35,1445.97
1993-1994,3,1993-09-01,Man United,3,1553.89,1565.43
1993-1994,3,1993-09-01,West Ham,0,1472.33,1460.79
1993-1994,3,1993-09-01,Tottenham,1,1513.06,1511.95
1993-1994,3,1993-09-01,Chelsea,1,1487.32,1488.43
1993-1994,3,1993-09-01,Swindon,1,1446.28,1431.91
1993-1994,3,1993-09-01,Man City,3,1460.87,1475.24
1993-1994,3,1993-09-01,Sheffield Weds,3,1458.36,1461.37
1993-1994,3,1993-09-01,Norwich,3,1529.11,1526.1
1993-1994,3,1993-09-01,Blackburn,1,1525.42,1526.25
1993-1994,3,1993-09-01,Arsenal,1,1544.71,1543.88
1993-1994,3,1993-09-01,Coventry,1,1521.62,1537.34
1993-1994,3,1993-09-01,Liverpool,0,1538.25,1522.53
1993-1994,3,1993-09-01,QPR,2,1486.47,1502.2
1993-1994,3,1993-09-01,Sheffield United,1,1503.45,1487.72
1993-1994,4,1993-09-11,Oldham,0,1471.5,1457.53
1993-1994,4,1993-09-11,Everton,1,1495.57,1509.53
1993-1994,4,1993-09-11,Southampton,0,1445.97,1432.73
1993-1994,4,1993-09-11,Leeds,2,1486.94,1500.18
1993-1994,4,1993-09-11,Sheffield United,2,1487.72,1488.77
1993-1994,4,1993-09-11,Tottenham,2,1511.95,1510.91
1993-1994,4,1993-09-11,West Ham,0,1460.79,1459.54
1993-1994,4,1993-09-11,Swindon,0,1431.91,1433.15
1993-1994,4,1993-09-11,Norwich,0,1526.1,1510.43
1993-1994,4,1993-09-11,Wimbledon,1,1510.44,1526.11
1993-1994,4,1993-09-11,Chelsea,1,1488.43,1506.7
1993-1994,4,1993-09-11,Man United,0,1565.43,1547.16
1993-1994,4,1993-09-11,Aston Villa,0,1530.37,1530.67
1993-1994,4,1993-09-11,Coventry,0,1537.34,1537.03
1993-1994,4,1993-09-11,Arsenal,4,1543.88,1558.0
1993-1994,4,1993-09-11,Ipswich,0,1523.44,1509.32
1993-1994,4,1993-09-11,Man City,3,1475.24,1491.4
1993-1994,4,1993-09-11,QPR,0,1502.2,1486.04
1993-1994,4,1993-09-12,Liverpool,0,1522.53,1507.69
1993-1994,4,1993-09-12,Blackburn,1,1526.25,1541.09
1993-1994,4,1993-09-13,Newcastle,4,1494.63,1508.19
1993-1994,4,1993-09-13,Sheffield Weds,2,1461.37,1447.8
1993-1994,5,1993-09-18,Tottenham,5,1510.91,1523.62
1993-1994,5,1993-09-18,Oldham,0,1457.53,1444.82
1993-1994,5,1993-09-18,Swindon,2,1433.15,1436.34
1993-1994,5,1993-09-18,Newcastle,2,1508.19,1505.0
1993-1994,5,1993-09-18,Sheffield Weds,2,1447.8,1462.15
1993-1994,5,1993-09-18,Southampton,0,1432.73,1418.38
1993-1994,5,1993-09-18,QPR,2,1486.04,1487.09
1993-1994,5,1993-09-18,Norwich,2,1510.43,1509.37
1993-1994,5,1993-09-18,Leeds,2,1500.18,1514.69
1993-1994,5,1993-09-18,Sheffield United,1,1488.77,1474.26
1993-1994,5,1993-09-18,Everton,2,1509.53,1524.45
1993-1994,5,1993-09-18,Liverpool,0,1507.69,1492.77
1993-1994,5,1993-09-18,Coventry,1,1537.03,1535.73
1993-1994,5,1993-09-18,Chelsea,1,1506.7,1508.01
1993-1994,5,1993-09-18,Blackburn,0,1541.09,1522.64
1993-1994,5,1993-09-18,West Ham,2,1459.54,1478.0
1993-1994,5,1993-09-18,Ipswich,1,1509.32,1495.24
1993-1994,5,1993-09-18,Aston Villa,2,1530.67,1544.75
1993-1994,5,1993-09-19,Man United,1,1547.16,1562.63
1993-1994,5,1993-09-19,Arsenal,0,1558.0,1542.53
1993-1994,5,1993-09-20,Wimbledon,1,1526.11,1539.62
1993-1994,5,1993-09-20,Man City,0,1491.4,1477.9
1993-1994,6,1993-09-25,Man United,4,1562.63,1572.4
1993-1994,6,1993-09-25,Swindon,2,1436.34,1426.57
1993-1994,6,1993-09-25,Sheffield United,0,1474.26,1459.42
1993-1994,6,1993-09-25,Man City,1,1477.9,1492.74
1993-1994,6,1993-09-25,Newcastle,2,1505.0,1518.84
1993-1994,6,1993-09-25,West Ham,0,1478.0,1464.17
1993-1994,6,1993-09-25,Everton,1,1524.45,1508.8
1993-1994,6,1993-09-25,Norwich,5,1509.37,1525.02
1993-1994,6,1993-09-25,Oldham,1,1444.82,1449.02
1993-1994,6,1993-09-25,Aston Villa,1,1544.75,1540.55
1993-1994,6,1993-09-25,Chelsea,1,1508.01,1522.35
1993-1994,6,1993-09-25,Liverpool,0,1492.77,1478.43
1993-1994,6,1993-09-25,Blackburn,1,1522.64,1520.05
1993-1994,6,1993-09-25,Sheffield Weds,1,1462.15,1464.74
1993-1994,6,1993-09-25,Coventry,0,1535.73,1519.82
1993-1994,6,1993-09-25,Leeds,2,1514.69,1530.6
1993-1994,6,1993-09-25,Arsenal,1,1542.53,1552.39
1993-1994,6,1993-09-25,Southampton,0,1418.38,1408.52
1993-1994,6,1993-09-26,Ipswich,2,1495.24,1496.47
1993-1994,6,1993-09-26,Tottenham,2,1523.62,1522.4
1993-1994,6,1993-09-27,Wimbledon,1,1539.62,1537.37
1993-1994,6,1993-09-27,QPR,1,1487.09,1489.34
1993-1994,7,1993-10-02,West Ham,1,1464.17,1481.65
1993-1994,7,1993-10-02,Chelsea,0,1522.35,1504.86
1993-1994,7,1993-10-02,Swindon,1,1426.57,1415.51
1993-1994,7,1993-10-02,Blackburn,3,1520.05,1531.11
1993-1994,7,1993-10-02,Southampton,3,1408.52,1410.71
1993-1994,7,1993-10-02,Sheffield United,3,1459.42,1457.23
1993-1994,7,1993-10-02,Sheffield Weds,2,1464.74,1454.24
1993-1994,7,1993-10-02,Man United,3,1572.4,1582.9
1993-1994,7,1993-10-02,QPR,3,1489.34,1504.65
1993-1994,7,1993-10-02,Ipswich,0,1496.47,1481.16
1993-1994,7,1993-10-02,Norwich,1,1525.02,1539.8
1993-1994,7,1993-10-02,Coventry,0,1519.82,1505.05
1993-1994,7,1993-10-02,Liverpool,0,1478.43,1481.57
1993-1994,7,1993-10-02,Arsenal,0,1552.39,1549.24
1993-1994,7,1993-10-02,Leeds,4,1530.6,1545.89
1993-1994,7,1993-10-02,Wimbledon,0,1537.37,1522.08
1993-1994,7,1993-10-02,Aston Villa,0,1540.55,1524.62
1993-1994,7,1993-10-02,Newcastle,2,1518.84,1534.78
1993-1994,7,1993-10-03,Tottenham,3,1522.4,1536.81
1993-1994,7,1993-10-03,Everton,2,1508.8,1494.39
1993-1994,7,1993-10-04,Man City,1,1492.74,1490.86
1993-1994,7,1993-10-04,Oldham,1,1449.02,1450.9
1993-1994,8,1993-10-16,West Ham,0,1481.65,1483.5
1993-1994,8,1993-10-16,Aston Villa,0,1524.62,1522.77
1993-1994,8,1993-10-16,Swindon,1,1415.51,1418.86
1993-1994,8,1993-10-16,Everton,1,1494.39,1491.04
1993-1994,8,1993-10-16,Newcastle,1,1534.78,1518.48
1993-1994,8,1993-10-16,QPR,2,1504.65,1520.95
1993-1994,8,1993-10-16,Man United,2,1582.9,1595.92
1993-1994,8,1993-10-16,Tottenham,1,1536.81,1523.79
1993-1994,8,1993-10-16,Sheffield Weds,2,1454.24,1457.13
1993-1994,8,1993-10-16,Wimbledon,2,1522.08,1519.18
1993-1994,8,1993-10-16,Coventry,1,1505.05,1501.07
1993-1994,8,1993-10-16,Southampton,1,1410.71,1414.68
1993-1994,8,1993-10-16,Chelsea,1,1504.86,1491.36
1993-1994,8,1993-10-16,Norwich,2,1539.8,1553.3
1993-1994,8,1993-10-16,Arsenal,0,1549.24,1546.74
1993-1994,8,1993-10-16,Man City,0,1490.86,1493.36
1993-1994,8,1993-10-16,Liverpool,2,1481.57,1495.25
1993-1994,8,1993-10-16,Oldham,1,1450.9,1437.22
1993-1994,8,1993-10-17,Ipswich,0,1481.16,1483.92
1993-1994,8,1993-10-17,Leeds,0,1545.89,1543.13
1993-1994,8,1993-10-18,Blackburn,0,1531.11,1527.97
1993-1994,8,1993-10-18,Sheffield United,0,1457.23,1460.38
1993-1994,9,1993-10-23,Tottenham,1,1523.79,1519.39
1993-1994,9,1993-10-23,Swindon,1,1418.86,1423.25
1993-1994,9,1993-10-23,Sheffield United,1,1460.38,1460.24
1993-1994,9,1993-10-23,Sheffield Weds,1,1457.13,1457.27
1993-1994,9,1993-10-23,Oldham,0,1437.22,1441.8
1993-1994,9,1993-10-23,Arsenal,0,1546.74,1542.17
1993-1994,9,1993-10-23,Norwich,0,1553.3,1550.32
1993-1994,9,1993-10-23,West Ham,0,1483.5,1486.47
1993-1994,9,1993-10-23,QPR,5,1520.95,1535.09
1993-1994,9,1993-10-23,Coventry,1,1501.07,1486.93
1993-1994,9,1993-10-23,Leeds,3,1543.13,1542.47
1993-1994,9,1993-10-23,Blackburn,3,1527.97,1528.62
1993-1994,9,1993-10-23,Everton,0,1491.04,1480.44
1993-1994,9,1993-10-23,Man United,1,1595.92,1606.53
1993-1994,9,1993-10-23,Aston Villa,1,1522.77,1536.42
1993-1994,9,1993-10-23,Chelsea,0,1491.36,1477.71
1993-1994,9,1993-10-23,Man City,1,1493.36,1493.44
1993-1994,9,1993-10-23,Liverpool,1,1495.25,1495.17
1993-1994,9,1993-10-24,Southampton,2,1414.68,1434.03
1993-1994,9,1993-10-24,Newcastle,1,1518.48,1499.13
1993-1994,9,1993-10-25,Wimbledon,0,1519.18,1502.67
1993-1994,9,1993-10-25,Ipswich,2,1483.92,1500.44
1993-1994,10,1993-10-30,Sheffield Weds,3,1457.27,1460.88
1993-1994,10,1993-10-30,Leeds,3,1542.47,1538.87
1993-1994,10,1993-10-30,Arsenal,0,1542.17,1542.52
1993-1994,10,1993-10-30,Norwich,0,1550.32,1549.97
1993-1994,10,1993-10-30,Blackburn,1,1528.62,1543.22
1993-1994,10,1993-10-30,Tottenham,0,1519.39,1504.79
1993-1994,10,1993-10-30,Chelsea,0,1477.71,1461.17
1993-1994,10,1993-10-30,Oldham,1,1441.8,1458.34
1993-1994,10,1993-10-30,Ipswich,0,1500.44,1484.58
1993-1994,10,1993-10-30,Everton,2,1480.44,1496.3
1993-1994,10,1993-10-30,Liverpool,4,1495.17,1507.56
1993-1994,10,1993-10-30,Southampton,2,1434.03,1421.65
1993-1994,10,1993-10-30,Man United,2,1606.53,1618.48
1993-1994,10,1993-10-30,QPR,1,1535.09,1523.13
1993-1994,10,1993-10-30,Newcastle,4,1499.13,1514.28
1993-1994,10,1993-10-30,Wimbledon,0,1502.67,1487.51
1993-1994,10,1993-10-30,Swindon,1,1423.25,1412.97
1993-1994,10,1993-10-30,Aston Villa,2,1536.42,1546.7
1993-1994,10,1993-10-31,Coventry,0,1486.93,1485.78
1993-1994,10,1993-10-31,Sheffield United,0,1460.24,1461.39
1993-1994,10,1993-11-01,West Ham,3,1486.47,1501.77
1993-1994,10,1993-11-01,Man City,1,1493.44,1478.14
1993-1994,11,1993-11-06,Wimbledon,3,1487.51,1499.34
1993-1994,11,1993-11-06,Swindon,0,1412.97,1401.14
1993-1994,11,1993-11-06,Sheffield United,1,1461.39,1450.13
1993-1994,11,1993-11-06,Norwich,2,1549.97,1561.23
1993-1994,11,1993-11-06,QPR,1,1523.13,1539.0
1993-1994,11,1993-11-06,Blackburn,0,1543.22,1527.36
1993-1994,11,1993-11-06,Liverpool,2,1507.56,1522.31
1993-1994,11,1993-11-06,West Ham,0,1501.77,1487.02
1993-1994,11,1993-11-06,Southampton,1,1421.65,1440.17
1993-1994,11,1993-11-06,Tottenham,0,1504.79,1486.27
1993-1994,11,1993-11-06,Ipswich,1,1484.58,1468.55
1993-1994,11,1993-11-06,Sheffield Weds,4,1460.88,1476.9
1993-1994,11,1993-11-06,Coventry,2,1485.78,1501.23
1993-1994,11,1993-11-06,Everton,1,1496.3,1480.84
1993-1994,11,1993-11-06,Arsenal,1,1542.52,1527.7
1993-1994,11,1993-11-06,Aston Villa,2,1546.7,1561.52
1993-1994,11,1993-11-06,Leeds,4,1538.87,1550.57
1993-1994,11,1993-11-06,Chelsea,1,1461.17,1449.47
1993-1994,11,1993-11-07,Man City,2,1478.14,1468.89
1993-1994,11,1993-11-07,Man United,3,1618.48,1627.73
1993-1994,11,1993-11-08,Oldham,1,1458.34,1445.74
1993-1994,11,1993-11-08,Newcastle,3,1514.28,1526.89
1993-1994,12,1993-11-20,Sheffield Weds,0,1476.9,1477.95
1993-1994,12,1993-11-20,Coventry,0,1501.23,1500.18
1993-1994,12,1993-11-20,West Ham,2,1487.02,1500.25
1993-1994,12,1993-11-20,Oldham,0,1445.74,1432.51
1993-1994,12,1993-11-20,Tottenham,1,1486.27,1489.01
1993-1994,12,1993-11-20,Leeds,1,1550.57,1547.82
1993-1994,12,1993-11-20,Swindon,2,1401.14,1404.02
1993-1994,12,1993-11-20,Ipswich,2,1468.55,1465.68
1993-1994,12,1993-11-20,Norwich,1,1561.23,1557.33
1993-1994,12,1993-11-20,Man City,1,1468.89,1472.79
1993-1994,12,1993-11-20,Aston Villa,1,1561.52,1571.87
1993-1994,12,1993-11-20,Sheffield United,0,1450.13,1439.78
1993-1994,12,1993-11-20,Everton,0,1480.84,1468.33
1993-1994,12,1993-11-20,QPR,3,1539.0,1551.51
1993-1994,12,1993-11-20,Chelsea,0,1449.47,1437.79
1993-1994,12,1993-11-20,Arsenal,2,1527.7,1539.38
1993-1994,12,1993-11-20,Blackburn,2,1527.36,1538.67
1993-1994,12,1993-11-20,Southampton,0,1440.17,1428.86
1993-1994,12,1993-11-20,Man United,3,1627.73,1637.43
1993-1994,12,1993-11-20,Wimbledon,1,1499.34,1489.65
1993-1994,12,1993-11-21,Newcastle,3,1526.89,1541.69
1993-1994,12,1993-11-21,Liverpool,0,1522.31,1507.51
1993-1994,12,1993-11-22,Chelsea,0,1437.79,1439.3
1993-1994,12,1993-11-22,Man City,0,1472.79,1471.28
1993-1994,12,1993-11-23,Everton,1,1468.33,1471.71
1993-1994,12,1993-11-23,Leeds,1,1547.82,1544.45
1993-1994,12,1993-11-23,Blackburn,2,1538.67,1552.01
1993-1994,12,1993-11-23,Coventry,1,1500.18,1486.84
1993-1994,12,1993-11-24,Aston Villa,0,1571.87,1551.02
1993-1994,12,1993-11-24,Southampton,2,1428.86,1449.7
1993-1994,12,1993-11-24,Man United,0,1637.43,1630.57
1993-1994,12,1993-11-24,Ipswich,0,1465.68,1472.55
1993-1994,12,1993-11-24,Newcastle,4,1541.69,1552.41
1993-1994,12,1993-11-24,Sheffield United,0,1439.78,1429.06
1993-1994,12,1993-11-24,Sheffield Weds,3,1477.95,1491.0
1993-1994,12,1993-11-24,Oldham,0,1432.51,1419.46
1993-1994,12,1993-11-24,Swindon,1,1404.02,1425.03
1993-1994,12,1993-11-24,QPR,0,1551.51,1530.5
1993-1994,12,1993-11-24,Tottenham,1,1489.01,1489.04
1993-1994,12,1993-11-24,Wimbledon,1,1489.65,1489.62
1993-1994,12,1993-11-24,West Ham,0,1500.25,1501.93
1993-1994,12,1993-11-24,Arsenal,0,1539.38,1537.7
1993-1994,13,1993-11-27,Wimbledon,1,1489.62,1488.85
1993-1994,13,1993-11-27,Everton,1,1471.71,1472.48
1993-1994,13,1993-11-27,Sheffield United,1,1429.06,1444.5
1993-1994,13,1993-11-27,Chelsea,0,1439.3,1423.85
1993-1994,13,1993-11-27,QPR,1,1530.5,1528.72
1993-1994,13,1993-11-27,Tottenham,1,1489.04,1490.82
1993-1994,13,1993-11-27,Oldham,2,1419.46,1440.12
1993-1994,13,1993-11-27,Norwich,1,1557.33,1536.67
1993-1994,13,1993-11-27,Man City,1,1471.28,1457.13
1993-1994,13,1993-11-27,Sheffield Weds,3,1491.0,1505.15
1993-1994,13,1993-11-27,Leeds,3,1544.45,1554.49
1993-1994,13,1993-11-27,Swindon,0,1425.03,1414.99
1993-1994,13,1993-11-27,Ipswich,1,1472.55,1490.92
1993-1994,13,1993-11-27,Blackburn,0,1552.01,1533.64
1993-1994,13,1993-11-27,Coventry,0,1486.84,1477.71
1993-1994,13,1993-11-27,Man United,1,1630.57,1639.69
1993-1994,13,1993-11-27,Arsenal,2,1537.7,1553.33
1993-1994,13,1993-11-27,Newcastle,1,1552.41,1536.78
1993-1994,13,1993-11-28,Liverpool,2,1507.51,1524.38
1993-1994,13,1993-11-28,Aston Villa,1,1551.02,1534.15
1993-1994,13,1993-11-29,Southampton,0,1449.7,1436.94
1993-1994,13,1993-11-29,West Ham,2,1501.93,1514.69
1993-1994,14,1993-12-04,Wimbledon,1,1488.85,1474.96
1993-1994,14,1993-12-04,West Ham,2,1514.69,1528.58
1993-1994,14,1993-12-04,Tottenham,1,1490.82,1477.79
1993-1994,14,1993-12-04,Newcastle,2,1536.78,1549.8
1993-1994,14,1993-12-04,Swindon,0,1414.99,1416.26
1993-1994,14,1993-12-04,Sheffield United,0,1444.5,1443.23
1993-1994,14,1993-12-04,Sheffield Weds,3,1505.15,1520.98
1993-1994,14,1993-12-04,Liverpool,1,1524.38,1508.55
1993-1994,14,1993-12-04,QPR,2,1528.72,1528.95
1993-1994,14,1993-12-04,Aston Villa,2,1534.15,1533.92
1993-1994,14,1993-12-04,Ipswich,0,1490.92,1488.74
1993-1994,14,1993-12-04,Oldham,0,1440.12,1442.3
1993-1994,14,1993-12-04,Leeds,3,1554.49,1565.39
1993-1994,14,1993-12-04,Man City,2,1457.13,1446.23
1993-1994,14,1993-12-04,Man United,2,1639.69,1635.37
1993-1994,14,1993-12-04,Norwich,2,1536.67,1541.0
1993-1994,14,1993-12-04,Everton,1,1472.48,1485.95
1993-1994,14,1993-12-04,Southampton,0,1436.94,1423.47
1993-1994,14,1993-12-04,Coventry,1,1477.71,1495.93
1993-1994,14,1993-12-04,Arsenal,0,1553.33,1535.12
1993-1994,14,1993-12-05,Blackburn,2,1533.64,1544.05
1993-1994,14,1993-12-05,Chelsea,0,1423.85,1413.44
1993-1994,14,1993-12-06,Arsenal,1,1535.12,1532.66
1993-1994,14,1993-12-06,Tottenham,1,1477.79,1480.25
1993-1994,14,1993-12-07,Oldham,2,1442.3,1456.18
1993-1994,14,1993-12-07,Swindon,1,1416.26,1402.38
1993-1994,14,1993-12-07,Sheffield United,0,1443.23,1435.77
1993-1994,14,1993-12-07,Man United,3,1635.37,1642.83
1993-1994,14,1993-12-08,West Ham,0,1528.58,1515.16
1993-1994,14,1993-12-08,Leeds,1,1565.39,1578.81
1993-1994,14,1993-12-08,Southampton,0,1423.47,1411.26
1993-1994,14,1993-12-08,Ipswich,1,1488.74,1500.95
1993-1994,14,1993-12-08,Man City,1,1446.23,1462.93
1993-1994,14,1993-12-08,Everton,0,1485.95,1469.24
1993-1994,14,1993-12-08,Liverpool,3,1508.55,1524.43
1993-1994,14,1993-12-08,QPR,2,1528.95,1513.07
1993-1994,14,1993-12-08,Aston Villa,2,1533.92,1533.36
1993-1994,14,1993-12-08,Sheffield Weds,2,1520.98,1521.54
1993-1994,15,1993-12-11,Aston Villa,0,1533.36,1515.86
1993-1994,15,1993-12-11,Wimbledon,1,1474.96,1492.46
1993-1994,15,1993-12-11,Chelsea,1,1413.44,1417.14
1993-1994,15,1993-12-11,Ipswich,1,1500.95,1497.25
1993-1994,15,1993-12-11,Liverpool,2,1524.43,1519.36
1993-1994,15,1993-12-11,Swindon,2,1402.38,1407.45
1993-1994,15,1993-12-11,Man City,0,1462.93,1448.68
1993-1994,15,1993-12-11,Tottenham,2,1480.25,1494.5
1993-1994,15,1993-12-11,Newcastle,1,1549.8,1553.73
1993-1994,15,1993-12-11,Man United,1,1642.83,1638.91
1993-1994,15,1993-12-11,Oldham,1,1456.18,1444.89
1993-1994,15,1993-12-11,Blackburn,2,1544.05,1555.34
1993-1994,15,1993-12-11,Sheffield United,0,1435.77,1437.21
1993-1994,15,1993-12-11,Everton,0,1469.24,1467.8
1993-1994,15,1993-12-11,Southampton,0,1411.26,1400.53
1993-1994,15,1993-12-11,QPR,1,1513.07,1523.8
1993-1994,15,1993-12-11,West Ham,3,1515.16,1529.33
1993-1994,15,1993-12-11,Coventry,2,1495.93,1481.76
